,comment_body
177,Thanks for sharing your experiences! Having a sense of self-awareness is very important. It leads to the development of emotional intelligence skills and can help you in your personal and work relationships throughout your life. Keep it up!
178,Great reflection Taylor! Leadership is one of the biggest most sought after qualities to have in a candidate. With leadership you can help others to be at the level of understanding you are. Keep doing what you are doing it will strengthen this skill in the long-run! If you\'re looking for more ways to get involved consider some of the orgs at PSU (clubs.psu.edu). Best of luck!
179,Hi Jeong great job on this reflection. I enjoyed that you and your team were able to discuss current issues. Being able to share your perspectives with others is very useful in a team setting. Thanks for sharing!
180,I\'m not entirely sure where this title comes in to play I would change it to better tell the short 4-word story summary of this post. I also LOVE your style of writing! Throw up the Creativity skill tag for this post. You did a really great job in really helping the reader envision the blueberry picking trip.
181,I would maybe even add the adaptability tag to this post. Reading this post shows me how you have adapted to the college life so much that you didn\'t have a thought in your mind about how it was until you were reminded. You\'re style of writing was also very engaging and enjoyable to read!
182,"I really like your extended use of vocabulary and the imagery you paint in your writing. However I do believe there is some parts of your post that seem unnecessary. Some of that space could\'ve been used to elaborate more on how this experience embodied the \""""Teamwork\"""" skill tag. I definitely would like to see more posts that further elaborate on your teamwork skills!"
183,So sorry to hear about your grandfather my condolences. Your post was written very well and I think it is really nice you used a personal picture to help support your writing! I am eager to see more posts in the future about your skill developments. If you are really into music if you are not already in a PSU music group I highly suggest joining one that best fits your interests. This will help you experience scenarios that will help you develop your skills further!
184,Great reflection Casey. Sharing your experience and perspective with others is a great skill to have in the work environment. And showing your patience and willingness to explain makes you a strong team member and leader. Nice job!
185,This is a really great story! It really embodies your intercultural Skills tag very well! To further develop these skills and learn even more I highly suggest joining a group in Penn State where you can connect and teach others about your culture. You could also learn from others as well.
186,Allowing people to share each other\'s ideas is critical in the work environment especially when trying to execute on a concept or new project. Startups deal with this on a daily basis. If you would like more experience with bringing ideas to life consider joining groups like Innoblue!
187,I would definitely add the intercultural skill tag for this post as well. If you want to learn Chinese and a little about the culture too I highly suggest joining BAOCP (Buddhist Association Of Centre Pennsylvania) in State College! They are really great people and you do some pretty fun stuff with them and its not a religion-specific group!
188,Thanks for sharing your experience! Dislocating your arm must not have been a fun memory. And that is very admirable of you mother to care for your grandmother. I suggest you dive deeper into how you see yourself as similar to your mother. Since this narrative is a reflective piece you want to look back on your own experiences.
189,I would definitely add intercultural skills in place of presentation skills. This seems like it was a great experience! I highly suggest participating in more experiences at PSU such as these to broaden your skills!
190,You did a great job at explaining your experience. Good job at using an original picture! It really compliments your writing well. I highly suggest further elaborating on your cross-country experience I feel like it would make for a great post on teamwork and leadership!
191,First off I would by lying if I didn\'t say this made me laugh hysterically. I would definitely add the skill tags interpersonal skills and intercultural skills to your tags. You did a great job writing this clearly for your readers to understand.
192,Katie this is a great reflection piece on a difficult decision.  My wife also was on the pre-med path and found the same thing (mainly because of organic chemistry).  She had to question her end outcome and got a minor in business. It worked out well as she landed a role as national marketing manager for a cable ad company.  Cheers to you on making the switch.  Also I have a close friend who works in HPA in Virginia if you want to connect with someone in the field. Email: dknicely@liveitu.com
193,It is great that you were able to connect to your inner values through this retreat. I highly suggest the ontinuation of this discovery by participating in other groups or activities in PSU or at home. You described your skills very well in this post!
194,Katie thanks for sharing your THON experience! You will use teamwork almost everyday of your life which is why the skill is important to develop. This post really encapsulates the idea of how you understood the importance of teamwork and used your skills to help your team. Good job!
195,Hannah thanks for sharing your experience! As you continue through adulthood you will experience different types of leaders. It\'s always beneficial to  understand how different styles affect the team\'s morale and productivity. Consider taking leadership roles in multiple student orgs to gain new experiences. Check out clubs.psu.edu. Great work!
196,Nice reflection Amy! As you continue through adulthood you will experience different types of leaders. It\'s always beneficial to  understand how different styles affect the team\'s morale and productivity. Consider taking leadership roles in multiple student orgs to gain new perspectives. Check out clubs.psu.edu. Great work!
197,Emily it\'s great to see how much you learned from this leadership retreat. Definitely agree with your last point of getting to know yourself your strengths and weaknesses. The best way to do this is to put yourself in situations where you\'re out of your comfort zone- you\'re guaranteed to learn about yourself. When something both scares and excites you you know you\'re on the right path! I hope you\'re involved in some of this kind of activity outside the classroom.
198,Great reflection Megan. I\'m happy to hear you had a great experience at your retreat. Being a good leader also means being a good teammate. And you\'ll see that throughout your college and professional career. As Shannon said get involved with orgs on campus!
199,Great reflection Emily! I would also suggest tagging the skills \'Self-Awareness\' and \'Teamwork\' to this post. I feel that these are skills you developed to complement your leadership skills. Good work!
200,Nice reflection Lauren! As you continue through adulthood you will experience different types of leaders. It\'s always beneficial to  understand how different styles affect the team\'s morale and productivity. Consider taking leadership roles in multiple student orgs to gain new perspectives. Check out clubs.psu.edu. Great work!
201,Great post Alexandrea! Retreats are a great way to rediscover yourself. If you\'re looking for more leader or teamwork activities find some orgs to join at clubs.psu.edu! Keep it up!
202,Victoria- I\'d love to hear the stories behind the different experiences you had at this great internship!  I see a lot of potential for more entries I\'m guessing here it was hard to fit everything into one here. Since you were exposed to so much variety consider writing a few entries that go in-depth by demonstrating how you learned these valuable skills.
203,Nice reflection Alexandra! As you continue through adulthood you will experience different types of leaders. It\'s always beneficial to  understand how different styles affect the team\'s morale and productivity. Consider taking leadership roles in multiple student orgs to gain new perspectives. Check out clubs.psu.edu. Great work!
204,It\'s awesome that you took the initiative to learn more about this problem as well as develop a way to educate others. Having done a weight-restricted sport in college and having a lot of athlete friends I know there is a need for education on this subject.  I definitely suggest reaching out to other PSU women\'s teams and staff who work on athletic nutrition counseling to keep this project moving forward. Consider getting others from your team involved as well- many hands make light work!
205,"Sounds like an enlightening experience! The hardest part about being a leader is still applying those three \""""pillars\"""" during tough times when your natural human reaction might be to do something different that is less effective or even damaging. Now that you understand the philosophy behind being a great leader how are you putting this into action? I\'d love to see another entry on a real life leadership experience and any surprises you encountered while implementing the above."
206,Agreed on your last point- great leaders help those around them reach their potential rather than focusing on \'leading.\'   I\'ll always remember being completely paralyzed with fear at one point during a similar high ropes course in college! I\'m glad you saw how that\'s an important lesson in emotional intelligence: in life there will always be stressful times that come out of nowhere. The faster you can recognize and address your negative emotions the better off you\'ll be.
207,Amy- it\'s great to see how much you learned from this leadership retreat. Definitely agree on the importance of getting to know yourself and your strengths and weaknesses. The best way to do this is to put yourself in situations where you\'re out of your comfort zone- you\'re guaranteed to learn about yourself. When something both scares and excites you you know you\'re on the right path! I hope you\'re involved in an activity outside the classroom where you can find this balance.
208,This seems like it was a very enlightening experience for you. I believe that you can use this same type of obersavtion in other scenarios to help you further refleect and work on developing skills through reflection. This was very well written and you asked yourself a lot of good questions!
209,I am not entirely sure if this post is about how you were accepted into the program  or if this was the process leading to it. I feel like you should take an experience what happened after this process and reflect on what you learned during one scenario within the group. Reflecting on an experience that happened with this group can help further develop your skills!
210,This is a GREAT position to write about and self-reflect on! You should pull from what you learned about your THON reflections on doing things for others. If you reflect on that very moment I believe it will make for a great post on what you are capable of in terms of your skills. Your writing style is very expressive and puts good imagery in the readers head!
211,Being a woman in the engineering field is hard eespecially when it is considered a male-dominate field. It is very important that you have this drive and passion for your degree especially in engineering! You should take your experience with children from this post and further elaborate into another post. It seems like you were really happy with this position and it shows in your tone of writing.
212,THON seems like it has had a big impact in your life so far! I highly suggest writing a post on THON as a whole experience in addition to what you have done invidually with your groups. It is really impressive that you have done so much so far and are passionate with the things you do.
213,I really like the connects and imagery you are creating! From reading this post your connection with your spirit painting shows your dedication and drive to plow through your struggles. I am not sure where the war belongs in the post though but I believe your self-reflection overviews what you have gone through and how you\'ve grown from it.
214,This is nice that you summurized the event so we could see how it looked from the groups perspective! However You should definitely show how this helped you and how you had benefitted from this experience as well!
215,This is nice to see that you have the communications skills to work with other people and discuss your future with other people! You are on the right track with the explanation of the development of your skills. Your leadership skills are also especially important.
216,Quite an interesting title! This post shows a lot of your teamwork interpersonall skills. I believe you are understanding the point of these posts and I highly suggest creating more posts to frame your personal skills!
217,Nicely thought through connections from your life experiences to the artwork you chose from the museum collection.  One way to improve a reflection is to give a specific example that supports how you feel about something.  Example:  What part or specific aspect of the St. Jerome painting represents your faith.  You did this well with the first two works of art and examples from your life.
218,Nice job writing concise but well supported reflections on three different pieces of art within a short paragraph.  You obviously gave some depth of thought to how you and your aspirations relate to these different pieces as well as telling a bit about the artwork.  That makes interesting reading!
219,Hey Liza this is awesome! It\'s great to hear about someone like you taking the role of a leader to help those who want it most. You determination not to give up in difficult situations is admirable. This experience is a wonderful example of leadership but I would love to hear more about how you feel it will help you in your future. Often times experiences we learn from resonate in our future decision making tell me about what this experience meant to you and how it will affect your future!
220,"Nikki - all of these are awesome skills to have that can be applied in many work settings! One of my favorite quotes is \""""sheer effort enables those with nothing to surpass those with privilege and position.” Try to expand on these skills; give specific examples of problem solving or acting out good work ethic to give a better idea of how you operate. These stories make for great potential future entries consider breaking down some of these learned skills into separate entries!"
221,What a great way to leave high school - on a high note! This story is great because it took so much work to get your to your ultimate goal of attending Nationals. Consider adding the teamwork tag to this as well since you reflected upon your team skills. Contemplate all it took to get you to finals; the hard work challenges and initiative are all aspects you integrated to ultimately reach your goal. The specifics of what challenges you faced can later be applied in other settings!
222,The Martian is one of my favorite movies! This is a fun way to reflect I would suggest going more in depth on how you would problem solve and how those skills would be valuable in the other places you mentioned! It seems what you learned about problem solving goes hand in hand with your takeaway don\'t be afraid to elaborate. What takeaways did you have how will these help you in the future?   Explain how Matt Damon’s antics in outer space relate to you here on earth with specific examples!
223,This is a great summary of the movie. However from this post I am not completely sure where you used your problem-solving and criticial thinking. I suggest either editing this post or creating a new one to showcase the skills you learned during this movie experience.
224,I think you  should include a picture of you painting It sounds really great and would compliment your post well! You described how you overcame your obstacles and frustrations very well this is a great post to showcase your skills to recruiters!
225,This was a great program to be involved in. Groups like these in college are great to develop skills for your future and yourself in general. I highly suggest creating another post that focuses on a scenario where you can further elaborate on your leadership skills.
226,"I like most about this post the sentence \""""We cannot be afraid of trying new things.\"""" I highly suggest making a post of a scenario you faced in an engineering course that you can also apply these risk-taking skills to. This will show recuiters more about how you are not afraid to try new things and step out of your comfort zone for the goodness of your team."
227,You did a really good job encapsulating the experience you and your team had at Green Bowl. I highly suggest creating another post that can help you better describe your skills in more detail. This post could be about any scenario you feel fit!
228,This post was written very well! It is great that you were able to elaborate on your experiences and specifically tell your reader the process of your project. Adding the picture was a good touch.
229,I like the explanation of the thought processs of your flavors at Sweet Frog. This shows the decision making skills you have and is desirable to recruiters to see this process.
230,I am glad to see you and your teammates are planning another live it experience! You did a great job explaining the skills you used during this experience. I do suggest in your next posts further explaining your specific skill development during the scenarios.
231,I’m glad you got to know your group partners while enjoying delicious food! I wold suggest expanding on what you learned how you executed it and why this matters to you. What takeaway did you have and how will it help you in the future? Breaking down the process of your night at Green Bowl will help to explain how these great skills resonate with you and can later be applied in other settings.
232,Hey Paul! You seemed to really enjoy The Martian which is awesome! It’s great you were able to observe so much going on in the movie but summarizing less and reflecting upon yourself more is a better use of the skill tags. Try to expand on these skills; give specific examples of how you would use ethical judgement or creativity to problem solve as opposed to telling me how Watney did it in the movie. Keep up the good work!
233,Devin - Green Bowl is a great place to try new foods! I’d love to hear more about your experience at the restaurant. Did you feel as though you tried something new did you learn anything surprising about your friends? Explain to me why you chose the creativity and intercultural tags here! A quote I try to remember is “a mind that is stretched by experience can never go back to its old dimensions.”
234,This is very intuitive! I’m glad you could find a piece of art that truly resonated with you. You’re right not may people do know what they want to do for the rest of their life and often times become overwhelmed in thinking about it. I hope you are involved in other activities outside of school your leadership and insight is inspiring. I would love to read more posts about you taking the role of a leader and helping others!
235,You hit the nail on the head! Teamwork is an important aspect in life not just the classroom or on the court. The cheesy saying “teamwork makes the dreamwork ” is something I tell my own group members all the time. Recognizing these traits paves the way for you to take initiative and be the leader I would love to see future entries of you reflecting upon taking a leadership role. Check out this TED Talk on teamwork when you get a chance! - https://www.youtube.com/watch?v=H0_yKBitO8M
236,Hey William this is a really great and inspiring story. I would suggest adding the critical thinking and emotional intelligence tags to your post given you worked very hard to find what major you wanted to do and incorporated your families’ history of working in the railroad industry! Taking initiative to figure out what major you fit best and going to college
237,Joseph - this is a really great post! Your insight into why the activity matters outside of 2000 degrees is a great representation of communication and reflection. If you enjoy creative extracurriculars that pertain to your major consider joining the Penn State Robotics Club! Keep up the good work and remember “art without engineering is dreaming and engineering without art is calculating.”
238,Hey Jason! Green Bowl is a great place to step out of your comfort zone and break barriers. I’d love to hear more about your experience at the restaurant; did you learn anything surprising about your friends how do you feel being pushed out of a comfort zone was helpful? Elaborate more on why you chose your skill tags and how they are applicable in other places outside of Green Bowl. A quote I try to remember is “a mind that is stretched by experience can never go back to its old dimensions.”
239,Hey your summary on the movie is great but try to take what you learned from Mark Watney and apply it to yourself! For example try talking about a challenge you’ve faced and the solution you used to resolve it. You can do this by expanding on your feelings about communication issues you’ve faced in engineering
240,Andrew - this is an awesome entry! Explaining how you adapted in a tough situation shows leadership skills and flexibility. My only suggestion would be to add a takeaway; yes you learned a lot from this experience but what does that mean for situations off the mountain? I would also suggest getting involved with Penn States Skiing / Snowboarding clubs if you aren’t already - you would make a great instructor and team leader! Keep up the good work!
241,Hey Alicia! Thank you for sharing your experience i’m glad you had a good time! Here’s what I suggest; expand on how your experience at the show how will it resonate with you in other places? Did you learn something new or unexpected? How with this experience with your team help you in the classroom? Elaborating on these points will help to give a better understanding of how you plan to apply learned skills in different scenarios - such as the workplace!
242,Hey Suryan thanks for sharing your experience! Your insight into The Martian and its’ relation to the current state of the aerospace industry is very intuitive. Here’s what I suggest; take what you learned from The Martian and your knowledge on the aerospace industry and apply it to yourself. Take time to reflect upon how who you are and what you know will be an attribute to the work place. Elaborate on times you\'ve used critical thinking and conflict resolution!
243,Abdulla - thanks so much for sharing your experience at Green Bowl! I’d love to hear more about your experience at the restaurant; did you learn anything surprising about your friends why will this experience be valuable in the future? Elaborate more on why this experience was notable and how it will help you in other places outside of Green Bowl!
244,Hey I love your style of writing thanks for sharing your experience at Green Bowl! Here’s what I suggest; you did a great job linking the experience to skills that will be useful in many other places outside Green Bowl however try to reflect more on yourself and less on summarizing the event. Elaborate on how trust was established and conflicts were resolved to give a more well rounded view of the activity being an exercise in skill building!
245,Hey Kevin! Your writing is very strong thanks for sharing your experience! Here’s what I suggest; focus less on summarizing the event and more reflecting upon what this event taught you. Elaborate on how risk taking and teamwork will resonate with you in the future not just in Green Bowl. Don’t be afraid to focus on yourself explaining what you learned from this experience as opposed to summarizing it
246,Hey Ting! Thanks for sharing your experience with watching The Martian! Here’s what I suggest; you did a great job reflecting on how this movie relates to you however I would love to see you expand on your goals to become a great engineer. How do you plan to do this in what ways do you strive to make society a better place? Your takeaway from the movie was right on track elaborating on your last few points will just help to wrap it up nicely!
247,am glad to see you and your teammates are planning another live it experience! You did a great job explaining the skills you used during this experience. I do suggest in your next posts further explaining your specific skill development during the scenarios.
248,This is very important that you can master these skills and be able to also hold yourself to a standard as well as communicate with your team during dinners like these. In your future career dinners like these with both your team and clients will happen.
249,That sounds amazing! That is really a different experience to be apart of. I highly suggest creating a follow-up to this post after the competition to further elaborate your skills put to use during this incredible oppurtunity.
250,This was a good way to react to this movie! I highly suggest further elaborating on your skills learned during the movie. For example explaining the if factor of being in that situation what you and your team would do is a good place to start.
251,I love that you took the trip with Dr. Daley and some of you classmates. I like that you were able to develop all of these skills while building relationships with your teacher and classmates. Being able to have peace conversations about controversial topics is a great trait to have when you get into the real world. The traits you have developed in this experience will take you a long way in life. I suggest you keep developing these skills throughout your time at PSU.
252,i love that you were able to sit in the arboretum and reflect on key events in your life. It seems like the arboretum has that effect on everyone including myself. Also Self-awarness is a very important trait to have when you are dealing people from different backgrounds. It is the first step to being able to be empathetic.
253,I believe that the ability to identify with piece of art is what makes it so beautiful. Now that you have identified pieces of art that you can relate different events in your life to you are more likely to be able reflect on the lessons you learned in those experiences. This is exactly what happened to you. Adaptability self-awareness and creativity are all great skills to have in order to be successful in life.
254,I love the imagery that you are creating with your word choice in the beginning. As I read your post I feel like I am there. Your father\'s dedication to teaching you the sport of track seems like it has been huge in your development. I believe that teaches you a lot of lesson including leadership that will make you the best all around professional you can be.
255,Sarah - this is very cool giving back to your local community is a great way to get involved. I see you used the teamwork and community engagement tags expand on this! What did you do to personally to contribute did you run into any problems what was the process of raising money? Don’t be afraid to make yourself shine! Live It is all about student success
256,The arboretum has the breath taking effect on people. Its truly amazing and always brings back nostalgia. After reading your post I am very happy that you have an understanding of emotional intelligence. Emotional intelligence is very important and it is a major key to success. Another skills I see that you developed was the ability to connect your past to the present. Thats a great skill to have because our past serves as point of reference for us to see the blessings we have in life.
257,Wow I\'m amazed. I was a Kinesiology major in my undergraduate and I didnt get a Personal training certification. So congrats to you. This shows you are goal driven and very cognizant of your future. That is a good trait that you should never lose. Kinesiology is a great major and while in it you will learn what you want to do for the rest of your life.
258,i agree that in the past there was a lot of masculinity and love of men. You are right to say that this is still relevant today. We have a long way to go for gender equality to be reached. This post definitely shows that you have a good understanding of self-awareness.
259,Great imagery at the beginning. Great story about the plant you mother gave you. We all have things that our parents or guardians have given us that we hold dearly. It shows a lot of responsibility to be able to take care of a plant. Also your story shows that you have the ability to juggle a lot of responsibilities at once.
260,This was written very well. This was a great experience to elaborate on. I highly suggest further creating posts such as this in similar tone and style with more like experiences. I feel like you would gain from joining a community club at Penn State. There are tons of clubs you could get involved in to further explore new experiences and develop new skills while helping people!
261,I am impressed by your writing!  Your title is engaging as well as your posts and you use transitions very well.  This experience was explained well too! I suggest creating another post showcasing a specific play you worked on and any obstacles you may have overcame.
262,Is this part of your major or a decision maker in your career process? If it is you should lightly touch on how it was your deciding factor. This shows the dedication you have to the field of work and the continuing dedication you will have.
263,A sport such as boxing is very good to be involved in. You learn about patience dedication and other skills that will help you later in life. I suggest making another post about an experience you had boxing where you specifically overcame obstacles.  This will show the development of your skills.
264,Were you involved in the project management aspect of this project?  If not what was your role?  I highly suggest including your role in this post.  Also I highly suggest creating another post that explains one major obstacle you faced during the project execution.
265,I like the touch of personality you put in your post worth the comment on the mini sized human.  It gives a true voice to your writing rather than it seeming robotic.  This is a very impressive experience to be involved in.  I highly suggest continuation in experiences groups and projects at this level.
266,Everything I have read about from you is impressive! This is especially amazing and makes you stand out because you have stepped into a male-dominant activity more than once.  This level of dedication and confidence sets you apart from other people!
267,That is really nice to hear you use the free resources Penn State offers. This shows your dedication to learn and stand out from the rest. You should tell of one issue you ran into and if you had attempted a mixture of the software and html at all.
268,It really is sad to graduate but this shows the moving on and beginning of the rest of your life!  I know this event has passed however if you can remember a specific time where you used any of your skills in the tags I would further explain these.
269,This is great that you put yourself in a situation where you could experience another culture! I highly suggest creating another post about any obstacles you may have faced along the way like language barriers or dialect differences.
270,I like the personable humor your out within your past it gave it personality and kept it engaging. However for the purpose of recruiters and keeping your portfolio professional I would take out the part about drinking.  I suggest making this post more about the skills you developed with the locals rather than the personal social experiences you had.
271,This is a great post. This is the tone and style you should follow when creating future posts. This displays your development of your tagged skills and shows your audience your dedication and leadership within your experience.
272,This is nice that you admitted the mistake of incorrectly creating a bowl for your teammate. Also it shows that you had the drive and dedication to get back up and make another bowl they were dissatisfied with. This also shows emotional intelligence that you reacted to the dissatisfaction that you had noticed and acknowledged it.
273,This was a nice summary of the experience you had watching this movie. However I do suggest you take this post a step further. You should think and self-reflect on how this movie inspired you to develop the skills necessary to take on a task like this in real life.
274,I really enjoy how you connected back the movie to real-life experiences. However I suggest further self-reflecting in this post how this movie pertained to you and your development of skills. Otherwise your style tone and transitions within your writing are all great!
275,This seems like it was a very enlightening experience for you. I really enjoyed the style and tone of your writing and the way you connected the game back to the skill tags. However I suggest in the future of your posts you spend more time focusing on how YOU developed these skills you saw in action.
276,This seems like you learned a lot about this workshop. Your style of writing really helps the reader to envision the experiments that were performed. However I highly suggest self-reflecting on how this experience helped YOU to develop skills. This will show recruiters how you use skills you have learned from other experiences in your everyday life.
277,What\'s up Kelsey! Thanks so much for sharing your experience I have a few suggestions that may help. Instead of giving so much background on the Inn itself talk more about yourself! I\'d love to hear about more of the things you did while working there as opposed details on the business. Your idea to put out coffee cake is quick thinking sharing more stories where you had good ideas wold be interesting to read about - keep up the good work!
278,Hey Shannon! This is a great post I also recommend expanding on some key points in other Live It entries. For example think about creating separate entries for your college and service industry experiences. You seemed to learn a lot form these experiences so they would make great material for future Live It entries!
279,Hey Shane thanks for your entry! I\'m glad you had a nice experience but consider telling me a little more about it. Elaborate on what you learned how it was a team bonding experience and why it would matter to a potential recruiter. Ask yourself questions such as; did any issues arise how did you contribute
280,Hey Kurt - this is awesome! Your writing is really strong but I would love to hear more about how you personally contributed. Expand more on a takeaway in other words what did you learn from this experience? Don\'t be afraid to make yourself stand out it sounds like this project took a lot of work!
281,What\'s up Jake this is a great conclusion. Consider expanding on this a little more by telling me how you specifically would communicate in an effort to problem solve. Relate all that happened to Mark Watney and his crew to your environment in a group work setting!
282,Hey Nicole thanks for sharing! I agree with Shannon your summary of the movie is really strong but tell me how it pertains to you! Instead of just summarizing reflect. Dig deep and try to relate to the problem solving in the movie. Expand on the skill by relating it to situations you\'ve handled
283,What\'s up Ian! This is a great post you portrayed your struggles with the assignment well. The only thing I would suggest is elaborating on your takeaway a bit more. The need to be versatile is a good conclusion but I would love to hear more about why you chose your major and how you ultimately figured out a way to paint it on pottery. Keep up the good work!
284,Hey Christina - this is a great observation! You did a good job not only engaging in the assignment and summarizing but reflecting as well. Your entry is great I would love to read more consider writing new entries to let Live It in on what you\'ve been up to lately!
285,What\'s up Michael I love your writing style! This is a great reflection of your activity the only thing I would suggest is expanding on your takeaway. Ask yourself questions such as; what did I learn how will this help me in other places such as the classroom or workplace etc.? Overall
286,Michael - this is great too! Your reflection represents what you learned very well. Again I would suggest expanding on your takeaway to give recruiters better insight into who you are and how you operate. Don\'t be afraid to make yourself shine Live It is all about student success! Talk about how you contributed what you learned and how you plan to use it in the future.
287,Hey David! It\'s really cool you dedicated your time to helping out fellow students. I agree with Shannon it seems you make a good leader I would love to hear about it! Consider writing another post where you discuss your leadership skills focusing heavily on yourself - don\'t be afraid to make yourself shine! Reflecting upon other scenarios where you were a leader will help to paint a better picture of who you are to recruiters.
288,This sounds like my kind of challenge! Your takeaway here is great you did a good job of not just summarizing the event but reflecting on what you learned and why it matters too. I would love to read more on your work as an engineer you ability to connect something as foreign as trying new foods to engineering shows you grasp the Live It challenges very well. Keep up the good work!
289,Hey Brain thanks for sharing! I\'m glad you had a great time and now feel comfortable with your teammates this post is a good summary and reflection. I would love to hear more about your experience working with them throughout the semester after participating in this challenge! Consider writing new Live It entries to give more insight into your skills and experiences keep up the good work!
290,This is so cool! You\'re right this is a great way to engage students and in a world full of textbooks and exams this exercise is fun and stands out! My only suggestion would be to expand on your takeaway here as well. I wold love to hear about how you personally contributed; were you a leader or an active team member who contributed equally? Overall this is a great entry!
291,Hey this is a good entry! You\'re right food is a great gateway to good conversation. I would love to see more entries where you expand more on your other skill sets! These entries can be about anything you want; food a movie an experience
292,What\'s up Jordan thanks for sharing! It\'s awesome you got to try something new while bonding with your team this is a good summary of the event. I would suggest expanding on your entry further by reflecting and adding a takeaway. Unpack what you did at Green Bowl and why it matters. Ask yourself; what did this experience teach you was it helpful
293,I love this movie! Very cool way to apply skill building. I would suggest expanding here too; consider telling me about a time you faced adversity just as Mark did! Perhaps it was at work in the classroom or in an organization. Your recognition of his great problem solving ability is great tell me how it applies to you!
294,What\'s up Jian this is a great summary of the movie it seems you really grasped what was going on. Here\'s what I suggest; take all you observed in this movie and apply it to you! Were you ever faced with adversity in any type of setting how did you handle it? Were you innovative like the NASA team or were you creative like Mark? Consider writing a new entry where you can discuss these skills
295,So glad to hear you say reflecting became a habit!  It is so very important to think about and reflect on what you are learning and your experiences so that you can first soak them in and second figure out how to improve in the future.  There is always room for growth and often you need to figure out how to make that happen for yourself!
296,I would further discuss any scenario or obstacle that may have happened during this event. Use that obstacle to your advantage by telling your audience and recuiters through the posts how you developed skills (or used them) during this time.
297,This was a good observation about not being botanist since it is a different approach that would be taken in the movie as opposed to real life with engineers. I highly suggest further expanding this post by creating another and further elaborating on the plan your team came up with in order to survive this situation.
298,Rather than saying which skills and why they would be useful during a situation like this you should relate the situation to a scenario you have faced before or will with your team in which you can use the skills from the tags you put with this post.
299,I would further expand on this post and elaborate on the development and usage of your skill tags rather than just a short explanation of each one. These posts if used effectively should be able to help you better explain you and your skills to future employers and recruiters.
300,What\'s up Luke you hit the nail on the head here. Your understanding of the movie is very strong but i\'m most impressed with your ability to relate it to you and your team. Kudos to you! I would love to see more entries by you given you have a great understanding of what Live It is here for - keep up the good work!
301,This is good! My only suggestion would be to give a little more background on the experience; explain how it built up to your takeaway. Tell me what you guys did in order to give a better understanding of your overall experience!
302,Hey Jordan thanks for sharing! Your entry here is great you not only summarized but reflected upon your experience too. I would love to hear more about your team and how you work together consider writing new Live It entries to go into more detail! Check out this short TED Talk on leadership when you get a chance - https://www.ted.com/talks/tom_wujec_build_a_tower?language=en
303,Hey Mengxiong thanks for sharing your experience! This is a great summary I could really picture what you were describing. My only suggestion would be to summarize just a little less and focus more on a takeaway. I would love to see you tell me a little more of what you were thinking during this experience and how what you learned will stick with you! Keep up the good work!
304,This is good! You seem to have grasped the deeper meaning of this exercise very well. I hope to read more entires by you soon maybe you could write about an experience from your home in China or an experience you\'ve had since coming to college. Either way i\'m looking forward to it!
305,Hey William this is a great first post! Your reflection on why this exercise will be useful in the classroom is exactly what Live It looks for. My only suggestion would be to expand on your takeaway a little more really unpack what you learned from this experience and how it will stick with you!
306,What\'s up Paul thanks for sharing! Your summary on the experience was great but consider adding a stronger takeaway. Ask yourself; what did you learn from this? Will it be useful in other settings? Do you feel your team will work better having done this together? Keep up the good work!
307,Paul - your summary of the movie is good but tell me how it pertains to you. Use Mark Watney\'s problem solving and critical thinking and relate it to yourself. Have you ever faced a complicated problem where you thought creatively? Do you feel you will ever have to being a mechanical engineering major? Connect the dots between you and Mark to paint a better picture of your thought process!
308,This was a great experience to get involved in. This experience was meant to help you experience dinners and events with your teams in the future of your careers. I highly suggest reflecting on this experience in a way that the recruiters can see the use and development of your skills and how they can you use you in their company.
309,The picture included was a really nice touch to bring your post to life! It takes a lot of skill bravery risk-taking and confidence to get out in front of a large audience of strangers. This is a GREAT trait to have. I would definitely add the risk-taking skill to your post tags!
